group,variable,value
Siloes,Working primarily from home (n = xxxx),3
Siloes,Working primarily on-site (n = xxxx),2
Siloes,Splite between home and on-site (n = xxxx),1
Siloes,Lower socio-economic backgrounds (n = xxxx),2
Siloes,Intermediate backgrounds (n = xxxx),1
Siloes,Professional backgrounds (n = xxxx),2
Siloes,24 or under (n = xxxx),2
Siloes,25 - 34 (n = xxxx),1
Siloes,35 - 44 (n = xxxx),2
Siloes,45 - 54 (n = xxxx),3
Siloes,55 - 64 (n = xxxx),1
Siloes,65 or over (n = xxxx),2
Siloes,Asian / Asian British (n = xxxx),4
Siloes,White - British (n = xxxx),2
Siloes,White - Other (n = xxxx),1
Siloes,Mixed / Multiple ethnic group (n = xxxx),2
Siloes,Black / Black British (n = xxxx),1
Siloes,With a disability (n = xxxx),0
Siloes,Without a disability (n = xxxx),3
Siloes,"Bi, Gay or Lesbian (n = xxxx)",2
Siloes,Heterosexual/Straight (n = xxxx),2
Siloes,Christianity (n = xxxx),1
Siloes,No religion (n = xxxx),3
Siloes,Minority religions in the UK (n = xxxx),2
Siloes,Female (n = xxxx),2
Siloes,Male (n = xxxx),2
Siloes,Line manager (n = xxxx),4
Siloes,Non-line manager (n = xxxx),1
Siloes,Customer facing (n = xxxx),1
Siloes,Non-customer facing (n = xxxx),3
Siloes,Permanent full-time (n = xxxx),2
Siloes,Permanent part-time (n = xxxx),1
Siloes,Fixed term contractor (n = xxxx),2
Siloes,tenure <= 1 year (n = xxxx),1
Siloes,tenure 1-3 years (n = xxxx),2
Siloes,tenure 3-7 years (n = xxxx),2
Siloes,tenure 7-15 years (n = xxxx),2
Siloes,tenure15-22 years (n = xxxx),3
Siloes,tenure 22-30 years (n = xxxx),2
Siloes,tenure 30< years (n = xxxx),1
Diminished wellbeing,Working primarily from home (n = xxxx),5
Diminished wellbeing,Working primarily on-site (n = xxxx),5
Diminished wellbeing,Splite between home and on-site (n = xxxx),3
Diminished wellbeing,Lower socio-economic backgrounds (n = xxxx),7
Diminished wellbeing,Intermediate backgrounds (n = xxxx),5
Diminished wellbeing,Professional backgrounds (n = xxxx),4
Diminished wellbeing,24 or under (n = xxxx),8
Diminished wellbeing,25 - 34 (n = xxxx),5
Diminished wellbeing,35 - 44 (n = xxxx),4
Diminished wellbeing,45 - 54 (n = xxxx),6
Diminished wellbeing,55 - 64 (n = xxxx),3
Diminished wellbeing,65 or over (n = xxxx),42
Diminished wellbeing,Asian / Asian British (n = xxxx),6
Diminished wellbeing,White - British (n = xxxx),6
Diminished wellbeing,White - Other (n = xxxx),6
Diminished wellbeing,Mixed / Multiple ethnic group (n = xxxx),6
Diminished wellbeing,Black / Black British (n = xxxx),1
Diminished wellbeing,With a disability (n = xxxx),9
Diminished wellbeing,Without a disability (n = xxxx),4
Diminished wellbeing,"Bi, Gay or Lesbian (n = xxxx)",7
Diminished wellbeing,Heterosexual/Straight (n = xxxx),5
Diminished wellbeing,Christianity (n = xxxx),5
Diminished wellbeing,No religion (n = xxxx),5
Diminished wellbeing,Minority religions in the UK (n = xxxx),8
Diminished wellbeing,Female (n = xxxx),5
Diminished wellbeing,Male (n = xxxx),5
Diminished wellbeing,Line manager (n = xxxx),7
Diminished wellbeing,Non-line manager (n = xxxx),4
Diminished wellbeing,Customer facing (n = xxxx),4
Diminished wellbeing,Non-customer facing (n = xxxx),5
Diminished wellbeing,Permanent full-time (n = xxxx),5
Diminished wellbeing,Permanent part-time (n = xxxx),5
Diminished wellbeing,Fixed term contractor (n = xxxx),2
Diminished wellbeing,tenure <= 1 year (n = xxxx),1
Diminished wellbeing,tenure 1-3 years (n = xxxx),2
Diminished wellbeing,tenure 3-7 years (n = xxxx),4
Diminished wellbeing,tenure 7-15 years (n = xxxx),5
Diminished wellbeing,tenure15-22 years (n = xxxx),7
Diminished wellbeing,tenure 22-30 years (n = xxxx),9
Diminished wellbeing,tenure 30< years (n = xxxx),7
Hostility/ Bullying,Working primarily from home (n = xxxx),10
Hostility/ Bullying,Working primarily on-site (n = xxxx),9
Hostility/ Bullying,Splite between home and on-site (n = xxxx),13
Hostility/ Bullying,Lower socio-economic backgrounds (n = xxxx),11
Hostility/ Bullying,Intermediate backgrounds (n = xxxx),9
Hostility/ Bullying,Professional backgrounds (n = xxxx),9
Hostility/ Bullying,24 or under (n = xxxx),11
Hostility/ Bullying,25 - 34 (n = xxxx),10
Hostility/ Bullying,35 - 44 (n = xxxx),10
Hostility/ Bullying,45 - 54 (n = xxxx),9
Hostility/ Bullying,55 - 64 (n = xxxx),8
Hostility/ Bullying,65 or over (n = xxxx),34
Hostility/ Bullying,Asian / Asian British (n = xxxx),9
Hostility/ Bullying,White - British (n = xxxx),10
Hostility/ Bullying,White - Other (n = xxxx),13
Hostility/ Bullying,Mixed / Multiple ethnic group (n = xxxx),15
Hostility/ Bullying,Black / Black British (n = xxxx),3
Hostility/ Bullying,With a disability (n = xxxx),10
Hostility/ Bullying,Without a disability (n = xxxx),9
Hostility/ Bullying,"Bi, Gay or Lesbian (n = xxxx)",14
Hostility/ Bullying,Heterosexual/Straight (n = xxxx),9
Hostility/ Bullying,Christianity (n = xxxx),10
Hostility/ Bullying,No religion (n = xxxx),9
Hostility/ Bullying,Minority religions in the UK (n = xxxx),8
Hostility/ Bullying,Female (n = xxxx),9
Hostility/ Bullying,Male (n = xxxx),11
Hostility/ Bullying,Line manager (n = xxxx),9
Hostility/ Bullying,Non-line manager (n = xxxx),10
Hostility/ Bullying,Customer facing (n = xxxx),10
Hostility/ Bullying,Non-customer facing (n = xxxx),9
Hostility/ Bullying,Permanent full-time (n = xxxx),10
Hostility/ Bullying,Permanent part-time (n = xxxx),6
Hostility/ Bullying,Fixed term contractor (n = xxxx),22
Hostility/ Bullying,tenure <= 1 year (n = xxxx),28
Hostility/ Bullying,tenure 1-3 years (n = xxxx),11
Hostility/ Bullying,tenure 3-7 years (n = xxxx),10
Hostility/ Bullying,tenure 7-15 years (n = xxxx),10
Hostility/ Bullying,tenure15-22 years (n = xxxx),8
Hostility/ Bullying,tenure 22-30 years (n = xxxx),7
Hostility/ Bullying,tenure 30< years (n = xxxx),7
Speaking up repercussions,Working primarily from home (n = xxxx),11
Speaking up repercussions,Working primarily on-site (n = xxxx),8
Speaking up repercussions,Splite between home and on-site (n = xxxx),15
Speaking up repercussions,Lower socio-economic backgrounds (n = xxxx),12
Speaking up repercussions,Intermediate backgrounds (n = xxxx),6
Speaking up repercussions,Professional backgrounds (n = xxxx),10
Speaking up repercussions,24 or under (n = xxxx),10
Speaking up repercussions,25 - 34 (n = xxxx),9
Speaking up repercussions,35 - 44 (n = xxxx),12
Speaking up repercussions,45 - 54 (n = xxxx),8
Speaking up repercussions,55 - 64 (n = xxxx),8
Speaking up repercussions,65 or over (n = xxxx),5
Speaking up repercussions,Asian / Asian British (n = xxxx),4
Speaking up repercussions,White - British (n = xxxx),10
Speaking up repercussions,White - Other (n = xxxx),14
Speaking up repercussions,Mixed / Multiple ethnic group (n = xxxx),6
Speaking up repercussions,Black / Black British (n = xxxx),3
Speaking up repercussions,With a disability (n = xxxx),9
Speaking up repercussions,Without a disability (n = xxxx),10
Speaking up repercussions,"Bi, Gay or Lesbian (n = xxxx)",15
Speaking up repercussions,Heterosexual/Straight (n = xxxx),10
Speaking up repercussions,Christianity (n = xxxx),10
Speaking up repercussions,No religion (n = xxxx),10
Speaking up repercussions,Minority religions in the UK (n = xxxx),7
Speaking up repercussions,Female (n = xxxx),10
Speaking up repercussions,Male (n = xxxx),10
Speaking up repercussions,Line manager (n = xxxx),13
Speaking up repercussions,Non-line manager (n = xxxx),9
Speaking up repercussions,Customer facing (n = xxxx),9
Speaking up repercussions,Non-customer facing (n = xxxx),11
Speaking up repercussions,Permanent full-time (n = xxxx),10
Speaking up repercussions,Permanent part-time (n = xxxx),7
Speaking up repercussions,Fixed term contractor (n = xxxx),23
Speaking up repercussions,tenure <= 1 year (n = xxxx),21
Speaking up repercussions,tenure 1-3 years (n = xxxx),8
Speaking up repercussions,tenure 3-7 years (n = xxxx),11
Speaking up repercussions,tenure 7-15 years (n = xxxx),12
Speaking up repercussions,tenure15-22 years (n = xxxx),9
Speaking up repercussions,tenure 22-30 years (n = xxxx),7
Speaking up repercussions,tenure 30< years (n = xxxx),10
Unfairness in promotion/progression,Working primarily from home (n = xxxx),13
Unfairness in promotion/progression,Working primarily on-site (n = xxxx),9
Unfairness in promotion/progression,Splite between home and on-site (n = xxxx),10
Unfairness in promotion/progression,Lower socio-economic backgrounds (n = xxxx),17
Unfairness in promotion/progression,Intermediate backgrounds (n = xxxx),13
Unfairness in promotion/progression,Professional backgrounds (n = xxxx),10
Unfairness in promotion/progression,24 or under (n = xxxx),3
Unfairness in promotion/progression,25 - 34 (n = xxxx),14
Unfairness in promotion/progression,35 - 44 (n = xxxx),13
Unfairness in promotion/progression,45 - 54 (n = xxxx),12
Unfairness in promotion/progression,55 - 64 (n = xxxx),11
Unfairness in promotion/progression,65 or over (n = xxxx),8
Unfairness in promotion/progression,Asian / Asian British (n = xxxx),12
Unfairness in promotion/progression,White - British (n = xxxx),12
Unfairness in promotion/progression,White - Other (n = xxxx),10
