group,variable,value
White - British,No negative consequences,50
Asian / Asian British,No negative consequences,92
White – Other,No negative consequences,45
Mixed / Multiple ethnic group,No negative consequences,40
Black / Black British,No negative consequences,76
With a disability,No negative consequences,2
Without a disability,No negative consequences,97
"Bi, Gay or Lesbian",No negative consequences,64
Heterosexual/Straight,No negative consequences,25
Female,No negative consequences,35
Male,No negative consequences,84
Line manager,No negative consequences,62
Non-line manager,No negative consequences,23
Customer facing,No negative consequences,51
Non-customer facing,No negative consequences,7
Permanent full-time,No negative consequences,68
Permanent part-time,No negative consequences,93
Fixed term contractor,No negative consequences,61
Working primarily from home,No negative consequences,16
Working primarily on-site,No negative consequences,7
Splite between home and on-site,No negative consequences,62
No religion,No negative consequences,46
Christianity,No negative consequences,23
Minority religions in the UK,No negative consequences,75
Lower socio-economic backgrounds,No negative consequences,31
Intermediate backgrounds,No negative consequences,73
Professional backgrounds,No negative consequences,1
24 or under,No negative consequences,29
25 - 34,No negative consequences,40
35 - 44,No negative consequences,73
45 - 54,No negative consequences,44
55 - 64,No negative consequences,35
65 or over,No negative consequences,62
White - British,Customer support difficulties,73
Asian / Asian British,Customer support difficulties,4
White – Other,Customer support difficulties,32
Mixed / Multiple ethnic group,Customer support difficulties,10
Black / Black British,Customer support difficulties,40
With a disability,Customer support difficulties,51
Without a disability,Customer support difficulties,81
"Bi, Gay or Lesbian",Customer support difficulties,77
Heterosexual/Straight,Customer support difficulties,59
Female,Customer support difficulties,97
Male,Customer support difficulties,25
Line manager,Customer support difficulties,28
Non-line manager,Customer support difficulties,69
Customer facing,Customer support difficulties,23
Non-customer facing,Customer support difficulties,69
Permanent full-time,Customer support difficulties,62
Permanent part-time,Customer support difficulties,20
Fixed term contractor,Customer support difficulties,76
Working primarily from home,Customer support difficulties,80
Working primarily on-site,Customer support difficulties,48
Splite between home and on-site,Customer support difficulties,73
No religion,Customer support difficulties,58
Christianity,Customer support difficulties,72
Minority religions in the UK,Customer support difficulties,73
Lower socio-economic backgrounds,Customer support difficulties,4
Intermediate backgrounds,Customer support difficulties,6
Professional backgrounds,Customer support difficulties,49
24 or under,Customer support difficulties,51
25 - 34,Customer support difficulties,2
35 - 44,Customer support difficulties,8
45 - 54,Customer support difficulties,45
55 - 64,Customer support difficulties,84
65 or over,Customer support difficulties,46
White - British,Communication / decision-making issues,92
Asian / Asian British,Communication / decision-making issues,38
White – Other,Communication / decision-making issues,57
Mixed / Multiple ethnic group,Communication / decision-making issues,69
Black / Black British,Communication / decision-making issues,50
With a disability,Communication / decision-making issues,45
Without a disability,Communication / decision-making issues,15
"Bi, Gay or Lesbian",Communication / decision-making issues,52
Heterosexual/Straight,Communication / decision-making issues,78
Female,Communication / decision-making issues,4
Male,Communication / decision-making issues,96
Line manager,Communication / decision-making issues,72
Non-line manager,Communication / decision-making issues,51
Customer facing,Communication / decision-making issues,67
Non-customer facing,Communication / decision-making issues,34
Permanent full-time,Communication / decision-making issues,14
Permanent part-time,Communication / decision-making issues,34
Fixed term contractor,Communication / decision-making issues,36
Working primarily from home,Communication / decision-making issues,46
Working primarily on-site,Communication / decision-making issues,22
Splite between home and on-site,Communication / decision-making issues,20
No religion,Communication / decision-making issues,86
Christianity,Communication / decision-making issues,13
Minority religions in the UK,Communication / decision-making issues,29
Lower socio-economic backgrounds,Communication / decision-making issues,24
Intermediate backgrounds,Communication / decision-making issues,12
Professional backgrounds,Communication / decision-making issues,56
24 or under,Communication / decision-making issues,4
25 - 34,Communication / decision-making issues,20
35 - 44,Communication / decision-making issues,87
45 - 54,Communication / decision-making issues,60
55 - 64,Communication / decision-making issues,83
65 or over,Communication / decision-making issues,73
White - British,Diminished socialising / mental wellbeing,89
Asian / Asian British,Diminished socialising / mental wellbeing,52
White – Other,Diminished socialising / mental wellbeing,19
Mixed / Multiple ethnic group,Diminished socialising / mental wellbeing,100
Black / Black British,Diminished socialising / mental wellbeing,68
With a disability,Diminished socialising / mental wellbeing,16
Without a disability,Diminished socialising / mental wellbeing,15
"Bi, Gay or Lesbian",Diminished socialising / mental wellbeing,36
Heterosexual/Straight,Diminished socialising / mental wellbeing,28
Female,Diminished socialising / mental wellbeing,11
Male,Diminished socialising / mental wellbeing,61
Line manager,Diminished socialising / mental wellbeing,34
Non-line manager,Diminished socialising / mental wellbeing,25
Customer facing,Diminished socialising / mental wellbeing,76
Non-customer facing,Diminished socialising / mental wellbeing,75
Permanent full-time,Diminished socialising / mental wellbeing,42
Permanent part-time,Diminished socialising / mental wellbeing,98
Fixed term contractor,Diminished socialising / mental wellbeing,42
Working primarily from home,Diminished socialising / mental wellbeing,42
Working primarily on-site,Diminished socialising / mental wellbeing,65
